gene_id	control_1	control_2	treated_1	treated_2
gene_001	5	28	80	170
gene_002	50	9	200	55
gene_003	11	72	410	125
gene_004	95	31	180	520
gene_005	18	140	620	210
gene_006	170	45	350	910
gene_007	33	260	1050	290
gene_008	310	75	570	1400
gene_009	61	480	1800	520
gene_010	590	130	920	2500
gene_011	5	40	10	45
gene_012	80	20	70	25
gene_013	12	110	18	95
gene_014	160	35	145	48
gene_015	25	230	39	210
gene_016	310	55	280	76
gene_017	44	430	67	390
gene_018	560	90	510	130
gene_019	73	780	110	690
gene_020	960	150	880	220
