chapter_file,line,source_kind,label,target_type,raw_target,normalized_target,domain,exists,anchor_target,anchor_status,syntax_status,context
00_ai_agent.md,6,markdown_link,§はじめに,local,./hajimeni.md,chapters/hajimeni.md,,yes,,,ok,[§はじめに](./hajimeni.md)で述べたように、AIコーディングエージェントは「コードを書く」作業を劇的に変えた。しかし、エージェントをただ起動して「作って」と言うだけでは、良いソフトウェアは生まれない。エージェントは強力な道具であるが、道具の使い方を知らなければ、その力を引き出すことはできない。
00_ai_agent.md,8,markdown_link,§1 設計原則 — 良いコードとは何か,local,./01_design.md,chapters/01_design.md,,yes,,,ok,本章では、AIコーディングエージェントを開発の相棒として使いこなすための基礎を学ぶ。セットアップから始まり、計画→実装→レビューのワークフロー、プロジェクト設定、コンテキスト管理、そしてAIに何を任せ何を自分で判断すべきかまで、実践的なベストプラクティスを体系的に解説する。ここで紹介するワークフローと考え方は、[§1 設計原則 — 良いコードとは何か](./01_design.md)以降のすべての章を通じて繰り返し使うことになる。
00_ai_agent.md,31,markdown_link,§0-2 計画フェーズの外部調査 — Deep Researchの活用,local,#計画フェーズの外部調査--deep-researchの活用,chapters/00_ai_agent.md,,yes,計画フェーズの外部調査--deep-researchの活用,ok,ok,もちろん、ブラウザチャットが適している場面もある。概念の説明を聞きたいとき、エラーメッセージの意味を解読したいとき、コードの断片について質問したいとき——こうした「相談」にはブラウザチャットの手軽さが向いている。くわえて、計画フェーズで最新のベストプラクティスやツール比較を多段階で調べたい場面では、ブラウザ側が提供する Deep Research 系のエージェント的調査機能を併用するのがよい（詳しくは[§0-2 計画フェーズの外部調査 — Deep Researchの活用](#計画フェーズの外部調査--deep-researchの活用)で扱う）。CLIエージェントはブラウザチャットを否定するものではなく、「手を動かす」作業を任せるための道具である。本書では、この「手を動かせる共同作業者」としてのCLIエージェントを前提に、ソフトウェア開発の作法を学んでいく。
00_ai_agent.md,50,markdown_link,GitHub Releases,external,https://github.com/openai/codex/releases/latest,https://github.com/openai/codex/releases/latest,github.com,,,,ok,| macOS 別方法 | `brew install --cask claude-code` | [GitHub Releases](https://github.com/openai/codex/releases/latest) からバイナリ取得 |
00_ai_agent.md,55,markdown_link,Claude Code,external,https://code.claude.com/docs/en/getting-started,https://code.claude.com/docs/en/getting-started,code.claude.com,,,,ok,Windows やその他の OS での導入手順は、各ツールの公式ドキュメント（[Claude Code](https://code.claude.com/docs/en/getting-started)・[Codex CLI](https://github.com/openai/codex)）を参照すること。
00_ai_agent.md,55,markdown_link,Codex CLI,external,https://github.com/openai/codex,https://github.com/openai/codex,github.com,,,,ok,Windows やその他の OS での導入手順は、各ツールの公式ドキュメント（[Claude Code](https://code.claude.com/docs/en/getting-started)・[Codex CLI](https://github.com/openai/codex)）を参照すること。
00_ai_agent.md,57,markdown_link,§16-3 コラム: VPN・多要素認証,local,./16_hpc.md#column-ch16-03,chapters/16_hpc.md,,yes,column-ch16-03,ok,ok,インストールが完了したら、ターミナルで起動コマンドを入力するだけでエージェントとの対話が始まる。初回起動時にサインインまたはAPIキーの設定を求められるので、あらかじめ利用方法を決めておくこと。サービスによっては多要素認証（MFA）が求められる場合がある（[§16-3 コラム: VPN・多要素認証](./16_hpc.md#column-ch16-03)を参照）。
00_ai_agent.md,71,image,承認モードの動作画面: エージェントが提案する変更を確認し、許可・拒否を選択する,local,../figures/ch00_approval_mode.png,figures/ch00_approval_mode.png,,yes,,,ok,![承認モードの動作画面: エージェントが提案する変更を確認し、許可・拒否を選択する](../figures/ch00_approval_mode.png)
00_ai_agent.md,77,markdown_link,§0-2,local,#0-2-plan--execute--review-ワークフロー,chapters/00_ai_agent.md,,yes,0-2-plan--execute--review-ワークフロー,ok,ok,「読み取り専用」モードは、次の[§0-2](#0-2-plan--execute--review-ワークフロー)で説明するPlan→Execute→Reviewワークフローの起点として極めて重要な役割を果たす。
00_ai_agent.md,83,markdown_link,U00096.3,external,https://www.ncbi.nlm.nih.gov/nuccore/U00096.3,https://www.ncbi.nlm.nih.gov/nuccore/U00096.3,www.ncbi.nlm.nih.gov,,,,ok,"入力データとして、*E. coli* K-12 MG1655株のゲノム配列から20,000 bpの断片を使用する（GenBank: [U00096.3](https://www.ncbi.nlm.nih.gov/nuccore/U00096.3)、1–20,000 bp）。この領域には *thrA*、*thrB*、*thrC* 等のアノテーション済み遺伝子が含まれており、予測結果の妥当性を既知の情報と照合できる。"
