issue_id,severity,chapter_file,line,category,subject,evidence,proposed_action,source
AUTO-0001,B,03_cs_basics.md,863,chapter_reference_missing_in_bib,https://www.unicode.org/versions/Unicode17.0.0/,"[6] The Unicode Consortium. *The Unicode Standard, Version 17.0*. 2025. [https://www.unicode.org/versions/Unicode17.0.0/](https://www.unicode.org/versions/Unicode17.0.0/) (参照日: 2026-07-24)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0002,B,04_data_formats.md,902,chapter_reference_missing_in_bib,https://creativecommons.org/licenses/,"[18] Creative Commons. ""About The Licenses"". [https://creativecommons.org/licenses/](https://creativecommons.org/licenses/) (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0003,B,04_data_formats.md,904,chapter_reference_missing_in_bib,https://www.doi.org/,"[19] International DOI Foundation. ""DOI Handbook"". [https://www.doi.org/](https://www.doi.org/) (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0004,B,13_visualization.md,742,chapter_reference_missing_in_bib,https://doi.org/10.1371/journal.pbio.1002128,"[8] Weissgerber, T. L., Milic, N. M., Winham, S. J. & Garovic, V. D. ""Beyond bar and line graphs: time for a new data presentation paradigm"". *PLOS Biology*, 13(4), e1002128, 2015. [https://doi.org/10.1371/journal.pbio.1002128](https://doi.org/10.1371/journal.pbio.1002128)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0005,B,16_hpc.md,810,chapter_reference_missing_in_bib,https://aws.amazon.com/training/digital/aws-cloud-practitioner-essentials/,"- **AWS. ""AWS Cloud Practitioner Essentials"".** https://aws.amazon.com/training/digital/aws-cloud-practitioner-essentials/ — S3、EC2、リージョンなど、[本章のクラウドコラム](./16_hpc.md#column-ch16-05)で紹介した概念を体系的に学べるAWS公式の無料トレーニング。",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0006,B,16_hpc.md,811,chapter_reference_missing_in_bib,https://www.cloudskillsboost.google/,"- **Google Cloud. ""Google Cloud Skills Boost"".** https://www.cloudskillsboost.google/ — GCPのハンズオン学習。無料ラボでGCSやCompute Engineを実際に操作できる。",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0007,B,19_database_api.md,977,chapter_reference_missing_in_bib,https://www.ncbi.nlm.nih.gov/sra/docs/sra-cloud/,"- **NCBI. ""SRA in the Cloud"".** https://www.ncbi.nlm.nih.gov/sra/docs/sra-cloud/ — NCBIがAWS S3およびGoogle Cloud StorageでSRAデータを公開している背景と、クラウド上での利用方法を解説する公式ドキュメント。",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0008,B,19_database_api.md,978,chapter_reference_missing_in_bib,https://docs.aws.amazon.com/cli/,- **AWS CLI Documentation.** https://docs.aws.amazon.com/cli/ — `aws s3 cp`等のコマンドリファレンス。S3パブリックバケットからのデータダウンロードに必要な`--no-sign-request`オプション等の詳細が記載されている。,対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0009,B,20_security_ethics.md,851,chapter_reference_missing_in_bib,https://www.mext.go.jp/content/20210608-mxt_jyohoka01-000015787_06.pdf,"[17] 内閣府. ""公的資金による研究データの管理・利活用に関する基本的な考え方"". 2021. https://www.mext.go.jp/content/20210608-mxt_jyohoka01-000015787_06.pdf (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0010,B,20_security_ethics.md,853,chapter_reference_missing_in_bib,https://www.jst.go.jp/all/about/houshin.html,"[18] JST. ""オープンサイエンス推進に向けた研究成果の取扱いに関する基本方針"". https://www.jst.go.jp/all/about/houshin.html (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
